id,leftFileId,rightFileId,similarity,totalOverlap,continuousOverlap
752,9,14,1,1178,1178
739,13,9,0.99830220713073,1176,1109
743,13,14,0.99830220713073,1176,1109
757,11,14,0.9936467598475223,1175,233
751,9,12,0.9910828025477707,1172,374
750,9,11,0.9936467598475223,1171,233
742,13,12,0.9893842887473461,1170,374
741,13,11,0.9919525624735281,1169,233
756,11,12,0.9847457627118644,1169,157
749,9,10,0.9868309260832625,1166,856
740,13,10,0.9851316907391674,1164,787
758,12,14,0.9910828025477707,1162,374
755,10,14,0.9868309260832625,1157,856
753,10,11,0.9809241203899958,1151,233
754,10,12,0.9779005524861878,1151,374
738,13,8,0.7576904874585897,889,189
760,8,15,0.8114593535749265,773,277
762,10,15,0.6224266316250547,752,48
763,11,15,0.6152838427947598,749,22
761,9,15,0.6161925601750547,746,22
