id,hash,data,files
8,1083181,,"[6,4,7]"
9,2676335,,"[6,4,7]"
10,6644131,,"[6,4,7]"
11,604601,,"[6,4,7]"
12,1459219,,"[6,5,7]"
13,2299233,,"[6,5,7]"
14,2006004,,"[6,5,7]"
15,1761268,,"[6,5,7]"
16,176337,,"[6,5,7]"
17,666793,,"[6,5,7]"
18,365488,,"[6,5,7]"
19,2183091,,"[6,5,7]"
20,5961689,,"[6,4,7]"
21,2152966,,"[6,4,7]"
22,3993882,,"[6,4,7]"
23,7216528,,"[6,4,7]"
24,2773969,,"[6,4,7]"
25,1215492,,"[6,7]"
26,1530856,,"[6,7]"
27,6225471,,"[6,7]"
28,695822,,"[6,4,7]"
29,4012476,,"[6,4,7]"
30,2273211,,"[6,4,7]"
31,2200798,,"[6,4,7]"
32,1197362,,"[6,4,7]"
33,1503483,,"[6,4,7]"
34,3517983,,"[6,4,7]"
35,5285143,,"[6,4,7]"
36,958217,,"[6,4,7]"
37,17568133,,"[7,6]"
38,2831964,,"[7,6]"
39,5325781,,"[7,6]"
40,321378,,"[7,6]"
41,253742,,"[7,6]"
42,1103723,,"[7,6]"
43,2749845,,"[7,6]"
44,1374788,,"[7,6]"
45,341289,,"[7,6]"
46,30644,,"[7,6]"
47,4262474,,"[7,6]"
48,4617535,,"[7,6]"
49,3359990,,"[7,6]"
50,5735860,,"[7,6]"
51,3075417,,"[7,6]"
52,1698560,,"[7,6]"
53,1939837,,"[7,6]"
54,1725291,,"[7,6]"
55,446835,,"[7,6]"
56,143364,,"[7,6]"
57,2805182,,"[7,6]"
58,5678884,,"[7,6]"
59,6106142,,"[7,6]"
60,6432279,,"[7,6]"
61,4564193,,"[7,6]"
62,1396525,,"[7,6]"
63,481209,,"[7,6]"
64,318082,,"[7,6]"
65,8818085,,"[7,6]"
66,10318599,,"[7,6]"
67,6084007,,"[7,6]"
68,1005268,,"[7,6]"
69,775873,,"[7,6]"
70,2069464,,"[7,6]"
71,2334543,,"[7,6]"
72,924668,,"[7,6]"
73,1179903,,"[7,6]"
74,1223515,,"[7,6]"
75,1363605,,"[7,6]"
76,3774875,,"[7,6]"
77,210930,,"[7,6]"
78,1018636,,"[7,6]"
79,1144179,,"[7,6]"
80,1312111,,"[7,6]"
81,1468273,,"[7,6]"
82,4038315,,"[7,6]"
83,3579534,,"[7,6]"
84,3110034,,"[7,6]"
85,5467652,,"[7,6]"
86,3980978,,"[7,6]"
87,3060079,,"[7,6]"
88,476083,,"[7,6]"
89,64768,,"[7,6]"
90,2084635,,"[7,6]"
91,98954,,"[7,6]"
92,1535550,,"[7,6]"
